#{"t_start": 1679529352.5520113, "env_id": "CarRacing-v0"}
r,l,t
255.895197,1000,50.380972
188.702929,1000,99.13027
330.335097,1000,149.437012
302.298851,1000,200.160685
479.457364,1000,249.569149
308.0,1000,303.774468
99.24812,1000,355.707829
623.991507,1000,407.061248
134.421365,1000,459.335074
222.515213,1000,511.1857
297.459165,1000,563.120548
316.044776,1000,616.894119
435.714286,1000,669.24808
261.313869,1000,721.160151
386.542443,1000,773.940064
255.239787,1000,826.446613
227.150084,1000,878.994046
268.627451,1000,933.842983
414.869888,1000,986.327016
292.055268,1000,1039.413066
393.78882,1000,1092.759798
460.2537,1000,1139.977433
345.364238,1000,1191.600949
275.786164,1000,1244.115248
354.09015,1000,1297.262842
246.405229,1000,1350.998972
33.647799,1000,1405.71191
140.88748,1000,1460.958051
305.454545,1000,1514.04613
307.749077,1000,1567.849895
555.310621,1000,1620.603205
251.916376,1000,1673.24134
489.118199,1000,1725.674955
461.752988,1000,1778.572042
504.081633,1000,1833.050823
156.07064,1000,1883.858533
481.162325,1000,1935.787935
247.386172,1000,1986.823331
195.238095,1000,2038.546
462.264151,1000,2090.974151
563.179916,1000,2143.679318
124.852071,1000,2198.524063
468.627451,1000,2245.790172
409.278351,1000,2297.4076
257.142857,1000,2349.447417
267.941712,1000,2402.018988
616.589862,1000,2453.570751
486.283186,1000,2506.863171
318.181818,1000,2558.189221
538.623327,1000,2609.699664
384.684685,1000,2661.77763
260.248447,1000,2713.970244
444.921875,1000,2764.617173
384.629295,1000,2815.297506
226.956522,1000,2868.448544
299.038462,1000,2922.603788
401.893939,1000,2975.030184
448.446069,1000,3026.935873
518.257261,1000,3078.27237
392.277992,1000,3130.201504
350.651769,1000,3181.609217
267.313916,1000,3233.250575
342.067736,1000,3285.499947
157.29927,1000,3331.592991
319.790105,1000,3384.108217
457.172557,1000,3435.182448
388.486842,1000,3487.221735
415.65762,1000,3539.134051
525.250501,1000,3591.361987
491.121495,1000,3644.389389
398.046875,1000,3696.502695
399.118166,1000,3748.836606
157.627119,1000,3801.62219
102.090592,1000,3854.341606
545.962733,1000,3909.126523
257.873211,1000,3961.595664
190.441176,1000,4013.933667
209.124767,1000,4065.176322
129.422067,1000,4116.940692
159.441708,1000,4169.407186
262.139918,1000,4220.963284
291.812865,1000,4272.58279
503.41556,1000,4324.914548
59.274194,1000,4376.713128
225.783972,1000,4428.497724
367.479675,1000,4474.748139
172.285251,1000,4527.514927
100.371058,1000,4580.107562
224.459235,1000,4631.601925
310.931174,1000,4683.131472
418.518519,1000,4734.886046
214.516129,1000,4786.871813
66.023166,1000,4838.105987
190.780142,1000,4890.137048
240.040241,1000,4941.040083
151.851852,1000,4992.992375
95.911414,1000,5046.648817
231.531532,1000,5097.977795
155.652174,1000,5149.517774
241.216216,1000,5201.427905
237.614679,1000,5253.682745
224.742268,1000,5305.932698
45.488029,1000,5359.855638
210.954064,1000,5412.698124
260.946746,1000,5464.060709
107.986689,1000,5516.142155
101.058201,1000,5563.417361
992.8,72,5571.343202
56.701031,1000,5623.246632
146.478873,1000,5675.77258
167.496112,1000,5723.048508
124.952741,1000,5775.445985
281.313131,1000,5828.662996
363.087248,1000,5879.539068
31.294964,1000,5932.490752
110.122699,1000,5983.15668
322.907489,1000,6034.743898
227.205882,1000,6086.786869
223.577236,1000,6141.207295
57.983193,1000,6193.446724
239.35743,1000,6245.340187
19.217082,1000,6297.628562
146.823956,1000,6352.279655
245.117845,1000,6406.536841
242.857143,1000,6459.739458
73.112339,1000,6511.434619
