#{"t_start": 1679529352.5530622, "env_id": "CarRacing-v0"}
r,l,t
192.079208,1000,50.435594
325.138632,1000,99.188552
314.342629,1000,149.487989
219.311663,1000,200.209422
204.857621,1000,249.623327
479.381443,1000,303.827611
45.708583,1000,355.763999
80.894309,1000,407.212915
235.429769,1000,459.392612
382.185273,1000,511.23773
153.358925,1000,563.178101
509.108159,1000,616.951213
468.181818,1000,669.299442
334.042553,1000,721.211675
-1.433692,1000,774.00358
276.163873,1000,826.502888
340.12945,1000,879.043401
80.894309,1000,933.896958
436.437247,1000,986.389817
178.219396,1000,1039.469936
330.769231,1000,1092.811116
287.947269,1000,1140.037097
227.160494,1000,1191.655639
323.459245,1000,1244.237878
466.420664,1000,1297.32268
381.037924,1000,1351.056132
346.846847,1000,1405.77322
326.202322,1000,1461.011074
342.088091,1000,1514.16886
243.621399,1000,1567.905494
273.563218,1000,1620.668516
218.027211,1000,1673.304325
271.663244,1000,1725.73857
358.333333,1000,1778.633744
380.075901,1000,1833.113661
282.297552,1000,1883.920065
320.127796,1000,1935.922406
55.03876,1000,1986.879394
383.362522,1000,2038.611548
492.771084,1000,2091.027316
322.178988,1000,2143.731224
234.420881,1000,2198.574151
394.077834,1000,2245.847521
493.360996,1000,2297.487319
377.351916,1000,2349.565355
357.928803,1000,2402.08448
551.452282,1000,2453.633805
510.993658,1000,2506.928283
427.881041,1000,2558.248794
241.924399,1000,2609.752183
656.476684,1000,2661.832584
163.94052,1000,2714.03178
471.976967,1000,2764.763521
474.514039,1000,2815.365293
457.620818,1000,2868.515432
415.625,1000,2922.664176
338.181818,1000,2975.090826
388.413547,1000,3026.990994
273.931624,1000,3078.327931
312.296564,1000,3130.260025
429.17505,1000,3181.668737
269.028007,1000,3233.299035
455.172414,1000,3285.551028
417.307692,1000,3331.647253
409.881423,1000,3384.172187
450.644567,1000,3435.242021
360.674157,1000,3487.276133
171.500843,1000,3539.184526
357.326892,1000,3591.480474
517.768595,1000,3644.44699
621.698113,1000,3696.561688
142.366412,1000,3748.891909
288.316151,1000,3801.679558
279.310345,1000,3854.404105
113.554987,1000,3909.184847
430.042918,1000,3961.651002
197.36211,1000,4013.993955
378.34275,1000,4065.228835
291.061453,1000,4117.003649
500.840336,1000,4169.470072
187.648054,1000,4221.017081
212.267658,1000,4272.695018
160.940032,1000,4324.966228
236.538462,1000,4376.764661
147.261346,1000,4428.550285
320.0,1000,4474.810663
326.256078,1000,4527.57935
184.710018,1000,4580.161923
327.083333,1000,4631.653487
307.630522,1000,4683.189795
92.675159,1000,4734.944238
144.252874,1000,4786.925533
374.103586,1000,4838.16959
266.482505,1000,4890.194968
473.146293,1000,4941.155392
178.877888,1000,4993.051624
3.244838,1000,5046.687087
154.132231,1000,5098.014505
248.884381,1000,5149.554377
47.982063,1000,5201.458439
388.57645,1000,5253.725779
209.734513,1000,5305.963237
187.356322,1000,5359.887944
270.242215,1000,5412.72591
388.843813,1000,5464.090144
304.896422,1000,5516.173461
519.747899,1000,5563.440701
123.506744,1000,5614.735669
28.712871,1000,5667.101507
144.299674,1000,5719.855353
32.325142,1000,5772.242628
242.412451,1000,5825.543082
230.206379,1000,5876.264107
553.276956,1000,5929.362394
33.333333,1000,5979.944722
328.571429,1000,6031.516757
-49.238579,1000,6083.574275
21.95122,1000,6137.955315
28.060264,1000,6190.259248
276.923077,1000,6242.129059
202.197802,1000,6294.461935
358.874459,1000,6349.062414
420.408163,1000,6403.310494
121.172023,1000,6456.640893
107.792208,1000,6508.388647
