#{"t_start": 1679656571.1894605, "env_id": "CarRacing-v0"}
r,l,t
-16.666667,1000,47.959152
-27.536232,1000,90.369515
30.742049,1000,136.808891
-16.38796,1000,189.423238
-44.444444,1000,246.69719
-81.751825,1000,303.395572
-12.621359,1000,364.936673
-4.059041,1000,426.66724
211.284047,1000,486.163573
35.646688,1000,537.901338
122.222222,1000,586.383993
87.096774,1000,635.873008
43.322476,1000,686.52124
59.235669,1000,734.804928
136.749117,1000,782.971332
222.033898,1000,835.662897
128.125,1000,887.562965
137.288136,1000,936.568419
143.75,1000,984.722502
374.452555,1000,1037.345009
-57.236842,1000,1092.646676
400.0,1000,1146.720175
210.457516,1000,1203.802824
306.451613,1000,1259.501067
438.461538,1000,1316.964745
248.993289,1000,1373.315126
-8.783784,1000,1429.77038
281.526104,1000,1486.045035
92.028986,1000,1542.449943
151.748252,1000,1597.720148
-17.981073,1000,1654.046916
