#{"t_start": 1679656571.1920323, "env_id": "CarRacing-v0"}
r,l,t
-26.421405,1000,48.029439
-30.921053,1000,90.436262
-78.658537,1000,136.907431
-76.271186,1000,189.506149
-35.153584,1000,246.857931
-20.754717,1000,303.475801
204.878049,1000,365.038383
-59.558824,1000,426.761061
220.689655,1000,486.243692
23.239437,1000,537.984855
25.874126,1000,586.461083
-48.948949,1000,635.952502
290.977444,1000,686.603644
239.041096,1000,734.891386
-20.265781,1000,783.043798
155.319149,1000,835.76143
-1.754386,1000,887.635376
218.327974,1000,936.654323
102.614379,1000,984.791963
252.272727,1000,1037.444264
49.206349,1000,1092.725251
-58.333333,1000,1146.80658
433.557047,1000,1203.880702
93.939394,1000,1259.580761
193.918919,1000,1317.052154
205.194805,1000,1373.404122
-16.058394,1000,1429.854313
403.289474,1000,1486.13035
210.077519,1000,1542.527846
-32.885906,1000,1597.821274
388.970588,1000,1654.1321
