#{"t_start": 1679656571.1887507, "env_id": "CarRacing-v0"}
r,l,t
-15.708812,1000,47.943265
-34.027778,1000,90.35285
-64.85623,1000,136.786068
-76.510067,1000,189.407189
-23.387097,1000,246.668744
-77.491961,1000,303.375493
-47.368421,1000,364.910118
121.774194,1000,426.64551
140.924092,1000,486.142427
63.822526,1000,537.883257
71.102662,1000,586.365284
-30.0,1000,635.855653
-8.088235,1000,686.501196
-6.25,1000,734.782986
63.763066,1000,782.953227
-21.052632,1000,835.642098
-26.199262,1000,887.544884
145.847176,1000,936.550449
33.333333,1000,984.70775
-44.852941,1000,1037.31696
272.340426,1000,1092.626753
197.546012,1000,1146.699519
319.708029,1000,1203.784137
98.58156,1000,1259.484443
150.0,1000,1316.946943
493.406593,1000,1373.297501
-45.205479,1000,1429.749741
424.429967,1000,1486.025302
50.170648,1000,1542.430817
-65.517241,1000,1597.691318
146.575342,1000,1654.023641
