#{"t_start": 1679654572.2779067, "env_id": "CarRacing-v0"}
r,l,t
-50.877193,1000,52.511092
-83.277592,1000,99.543121
-63.898917,1000,147.373306
-86.79868,1000,197.324502
-84.662577,1000,247.481006
-82.817869,1000,301.86738
-81.203008,1000,352.026419
-85.507246,1000,401.716046
-83.49835,1000,450.709941
-86.577181,1000,499.12641
-67.272727,1000,549.296656
-85.611511,1000,598.096792
-83.443709,1000,648.763094
-85.074627,1000,701.28398
-84.496124,1000,752.747007
-86.622074,1000,803.955932
-83.870968,1000,854.844131
-81.412639,1000,908.831893
-71.326165,1000,958.960315
-81.884058,1000,1008.389079
-85.714286,1000,1058.405087
-79.661017,1000,1104.567159
-83.870968,1000,1155.986274
-86.928105,1000,1211.050427
-81.481481,1000,1263.354713
-85.663082,1000,1315.550181
-82.45614,1000,1369.920819
-84.063745,1000,1419.05935
-82.269504,1000,1468.640634
-86.15917,1000,1521.618383
-83.164983,1000,1573.402984
