#{"t_start": 1679654572.2810884, "env_id": "CarRacing-v0"}
r,l,t
-60.431655,1000,52.573902
-70.29703,1000,99.635293
-73.941368,1000,147.436801
-84.126984,1000,197.413816
-81.617647,1000,247.561156
-81.751825,1000,301.939801
-87.421384,1000,352.102134
-86.666667,1000,401.806864
-81.549815,1000,450.787232
-87.055016,1000,499.200295
-87.57764,1000,549.365727
-84.126984,1000,598.170647
-82.45614,1000,648.846288
-82.817869,1000,701.368377
-80.620155,1000,752.820312
-82.758621,1000,804.038667
-85.507246,1000,854.91732
-86.486486,1000,908.89818
-82.993197,1000,959.132205
-80.314961,1000,1008.460602
-79.452055,1000,1058.471343
-83.49835,1000,1104.642218
-85.663082,1000,1156.068834
-85.40146,1000,1211.128682
-80.15873,1000,1263.433749
-86.486486,1000,1315.6227
-80.19802,1000,1369.992059
-86.15917,1000,1419.134196
-83.443709,1000,1468.719995
-84.520124,1000,1521.697175
-80.916031,1000,1573.485077
