#{"t_start": 1679654572.2795932, "env_id": "CarRacing-v0"}
r,l,t
-66.216216,1000,52.542509
-86.486486,1000,99.576195
-88.304094,1000,147.40572
-87.381703,1000,197.377052
-83.388704,1000,247.520005
-83.81877,1000,301.902036
-82.578397,1000,352.059675
-85.507246,1000,401.76074
-83.552632,1000,450.747984
-87.460815,1000,499.165517
-82.269504,1000,549.332765
-80.916031,1000,598.13081
-85.239852,1000,648.805303
-82.517483,1000,701.3229
-86.710963,1000,752.782805
-84.227129,1000,803.999143
-81.617647,1000,854.881367
-81.818182,1000,908.863356
-82.206406,1000,959.099239
-83.552632,1000,1008.425315
-87.179487,1000,1058.439856
-80.988593,1000,1104.607856
-83.606557,1000,1156.024905
-81.273408,1000,1211.08947
-86.254296,1000,1263.391251
-82.078853,1000,1315.585613
-75.524476,1000,1369.955015
-83.660131,1000,1419.096602
-82.698962,1000,1468.678172
-88.338192,1000,1521.656467
-86.79868,1000,1573.443743
