#{"t_start": 1679654572.2821233, "env_id": "CarRacing-v0"}
r,l,t
-39.0681,1000,52.608218
-79.338843,1000,99.678049
-82.332155,1000,147.468722
-83.443709,1000,197.454208
-79.591837,1000,247.697554
-81.060606,1000,301.992051
-79.238754,1000,352.141435
-85.964912,1000,401.849095
-84.27673,1000,450.825043
-68.085106,1000,499.241262
-86.30137,1000,549.403472
-85.507246,1000,598.214831
-80.46875,1000,648.884527
-85.663082,1000,701.412135
-82.142857,1000,752.860043
-86.394558,1000,804.082809
-74.074074,1000,854.956549
-82.876712,1000,908.937687
-84.177215,1000,959.165066
-80.988593,1000,1008.491464
-85.074627,1000,1058.509959
-83.606557,1000,1104.679848
-82.332155,1000,1156.107478
-85.347985,1000,1211.164062
-83.443709,1000,1263.489249
-80.842912,1000,1315.67121
-82.078853,1000,1370.034539
-73.421927,1000,1419.176884
-85.130112,1000,1468.760159
-81.751825,1000,1521.739978
-82.876712,1000,1573.533437
