#{"t_start": 1679522697.2603192, "env_id": "CarRacing-v0"}
r,l,t
423.809524,1000,66.132542
926.2,738,116.126559
820.634921,1000,181.09555
813.385827,1000,244.566127
812.698413,1000,306.577676
-44.444444,1000,368.443742
780.952381,1000,430.083679
892.063492,1000,491.864191
828.571429,1000,554.846965
146.031746,1000,618.603961
933.7,663,657.991945
945.1,549,691.478352
936.5,635,729.586904
915.3,847,784.836243
201.587302,1000,847.21122
931.7,683,887.791828
566.666667,1000,950.816912
958.3,417,978.92257
590.47619,1000,1042.98599
953.0,470,1073.686955
66.666667,1000,1140.032627
757.142857,1000,1208.331223
892.063492,1000,1273.927886
336.507937,1000,1340.769862
951.1,489,1364.254312
934.6,654,1413.093815
566.666667,1000,1480.667235
951.6,484,1518.227304
967.0,330,1534.138414
959.6,404,1563.713134
963.4,366,1589.757365
927.0,730,1633.483358
962.4,376,1660.679202
942.7,573,1697.065428
949.7,503,1729.943602
876.190476,1000,1795.262653
930.9,691,1837.028359
964.0,360,1862.235929
957.9,421,1890.33207
959.5,405,1918.220992
966.7,333,1934.18126
934.1,659,1981.000135
961.1,389,1999.260508
