#{"t_start": 1679522697.262075, "env_id": "CarRacing-v0"}
r,l,t
669.84127,1000,66.163726
796.825397,1000,127.762156
914.3,857,187.29817
852.380952,1000,249.750613
913.2,868,305.848406
940.1,599,341.630292
929.1,709,381.356492
519.047619,1000,443.42415
820.634921,1000,505.35396
915.8,842,561.186679
943.0,570,595.610848
942.4,576,631.793515
534.920635,1000,695.064065
265.079365,1000,758.065444
-12.698413,1000,820.416066
956.6,434,848.321513
918.1,819,895.358535
943.1,569,930.207197
534.920635,1000,993.439451
941.6,584,1037.998976
503.174603,1000,1101.834764
550.793651,1000,1163.423123
606.349206,1000,1229.027395
400.0,1000,1294.188061
860.31746,1000,1361.180405
964.8,352,1386.895671
949.9,501,1419.819487
967.4,326,1443.984306
966.4,336,1460.113207
138.095238,1000,1533.324277
962.9,371,1561.412731
962.9,371,1587.601939
892.063492,1000,1653.305746
929.5,705,1696.230979
884.126984,1000,1761.708949
961.0,390,1788.965683
962.6,374,1807.089701
955.7,443,1836.727613
653.968254,1000,1900.619436
257.142857,1000,1964.805291
965.9,341,1988.360306
968.4,316,2011.319483
962.7,373,2028.629045
