#{"t_start": 1679522697.2577717, "env_id": "CarRacing-v0"}
r,l,t
693.650794,1000,66.09659
900.4,996,127.496944
836.507937,1000,194.571965
927.3,727,243.86384
175.590551,1000,305.674582
909.2,908,355.443878
598.412698,1000,416.917958
788.888889,1000,478.934591
951.0,490,509.532088
892.063492,1000,572.762121
946.6,534,606.248243
868.253968,1000,669.96662
392.063492,1000,732.886774
161.904762,1000,795.362711
954.3,457,824.625507
944.0,560,858.460114
910.1,899,917.412026
812.698413,1000,980.71037
951.3,487,1012.174344
920.5,795,1058.368906
844.444444,1000,1122.422193
868.253968,1000,1193.201653
959.6,404,1221.251
836.507937,1000,1286.102565
911.2,888,1347.672939
774.015748,1000,1413.068938
960.0,400,1441.10877
968.1,319,1456.394675
963.6,364,1485.567557
929.4,706,1532.900017
962.8,372,1560.988783
804.761905,1000,1626.342981
954.3,457,1657.076911
773.015873,1000,1722.469523
892.063492,1000,1788.21941
918.1,819,1835.977237
606.349206,1000,1899.918281
955.5,445,1929.726756
884.126984,1000,1992.518591
960.1,399,2019.160994
