#{"t_start": 1679522697.2593796, "env_id": "CarRacing-v0"}
r,l,t
828.571429,1000,66.115195
709.52381,1000,127.733691
804.761905,1000,194.813413
911.9,881,250.790503
288.888889,1000,313.143628
933.8,662,351.365482
943.8,562,384.544316
852.380952,1000,446.820404
-36.507937,1000,508.765893
949.1,509,541.138401
836.507937,1000,604.056234
944.3,557,638.858762
384.126984,1000,702.062999
844.444444,1000,764.910097
927.5,725,814.496488
352.380952,1000,877.368874
930.9,691,918.212924
915.8,842,974.235853
965.6,344,990.089447
582.539683,1000,1054.522239
956.0,440,1083.569441
876.190476,1000,1151.689127
961.7,383,1180.957116
928.7,713,1223.591811
949.8,502,1256.087038
960.3,397,1283.783389
701.587302,1000,1350.589714
930.2,698,1393.05053
959.5,405,1421.374938
534.920635,1000,1490.315241
415.873016,1000,1561.279845
964.5,355,1586.631706
868.253968,1000,1652.437031
962.4,376,1670.626293
958.1,419,1699.547559
955.9,441,1729.503284
944.8,552,1764.869268
677.777778,1000,1829.517103
614.285714,1000,1893.788422
913.8,862,1951.364893
860.31746,1000,2014.158736
