#{"t_start": 1679519325.43537, "env_id": "CarRacing-v0"}
r,l,t
-25.506555,1000,65.415669
-10.607867,1000,132.534915
22.169249,1000,203.008245
51.966627,1000,273.151129
-16.567342,1000,344.875184
364.839094,1000,418.875917
-49.344458,1000,493.424431
236.710369,1000,570.091848
51.966627,1000,648.392212
284.386174,1000,730.088547
75.804529,1000,807.329246
445.554112,759,862.694703
450.054112,714,910.614937
165.196663,1000,971.628152
93.682956,1000,1031.485116
472.554112,489,1060.997396
31.108462,1000,1121.036416
236.710369,1000,1180.8695
452.654112,688,1220.581661
472.854112,486,1249.460227
459.354112,621,1285.744346
409.535161,1000,1346.706605
461.854112,596,1382.726892
470.654112,508,1414.843806
462.754112,587,1450.359339
433.254112,882,1505.681819
469.854112,516,1536.0967
443.054112,784,1584.164567
99.642431,1000,1648.122581
471.454112,500,1679.387309
376.758045,1000,1740.987662
473.754112,477,1765.203403
418.474374,1000,1825.292597
467.854112,536,1856.62594
439.654112,818,1906.90166
466.654112,548,1939.553085
470.754112,507,1970.111505
473.554112,479,2000.37608
233.730632,1000,2061.50449
