#{"t_start": 1679519325.4392052, "env_id": "CarRacing-v0"}
r,l,t
-16.567342,1000,65.632345
-40.405244,1000,132.842205
31.108462,1000,203.213413
51.966627,1000,273.456571
-31.466031,1000,345.104687
31.108462,1000,419.111647
281.406436,1000,493.61097
37.067938,1000,570.242506
174.135876,1000,648.575674
427.554112,939,726.144053
-46.36472,1000,803.312896
227.771156,1000,877.288264
448.954112,725,920.793329
281.406436,1000,981.85919
326.102503,1000,1041.42197
329.082241,1000,1101.592608
105.601907,1000,1161.516759
467.654112,538,1193.195771
476.154112,453,1220.885823
457.554112,639,1257.663866
397.61621,1000,1317.724909
467.454112,540,1350.695886
451.754112,697,1397.797741
461.954112,595,1433.634556
7.27056,1000,1495.17194
462.354112,591,1529.495785
212.872467,1000,1588.608508
464.054112,574,1624.098051
183.075089,1000,1687.494663
108.581645,1000,1748.857576
132.419547,1000,1809.049632
444.754112,767,1852.300135
471.954112,495,1881.629947
476.454112,450,1909.211953
473.254112,482,1938.335743
486.254112,352,1960.716135
459.054112,624,1998.647638
473.954112,475,2028.188273
479.654112,418,2054.047651
