#{"t_start": 1679519325.4377365, "env_id": "CarRacing-v0"}
r,l,t
-22.526818,1000,65.547984
-46.36472,1000,132.761537
-70.202622,1000,203.130599
19.189511,1000,273.355374
-10.607867,1000,345.008673
60.90584,1000,419.02369
114.54112,1000,493.515577
-19.54708,1000,570.189981
-7.628129,1000,648.446095
379.737783,1000,730.161023
1.311085,1000,807.394616
10.250298,1000,880.459967
438.154112,833,934.002689
-43.384982,1000,995.442685
444.454112,770,1038.254297
132.419547,1000,1098.426433
446.954112,745,1141.156922
-19.54708,1000,1200.652636
427.954112,935,1257.070676
476.854112,446,1284.299342
269.487485,1000,1345.28535
352.920143,1000,1408.074775
467.854112,536,1441.053037
463.754112,577,1476.197265
473.854112,476,1505.05281
452.954112,685,1544.203769
114.54112,1000,1603.294419
471.754112,497,1636.112858
159.237187,1000,1698.233033
471.954112,495,1729.390663
470.354112,511,1759.965077
260.548272,1000,1820.041056
471.554112,499,1849.580996
467.554112,539,1881.14111
475.654112,458,1909.113327
483.354112,381,1933.108962
476.954112,445,1960.205319
482.154112,393,1986.624434
458.254112,632,2023.733793
487.054112,344,2041.637324
