#{"t_start": 1679519325.4406502, "env_id": "CarRacing-v0"}
r,l,t
-1.668653,1000,65.730402
16.209774,1000,132.933993
156.257449,1000,203.30305
-55.303933,1000,273.561342
105.601907,1000,345.190344
60.90584,1000,419.211201
272.467223,1000,493.789508
412.514899,1000,570.335276
200.953516,1000,648.662834
102.622169,1000,730.298089
34.0882,1000,807.504082
227.771156,1000,880.54561
200.953516,1000,942.29649
320.143027,1000,1003.363058
456.454112,650,1040.696255
447.454112,740,1087.579668
450.854112,706,1128.089425
458.954112,625,1164.458963
445.554112,759,1211.759098
461.554112,599,1246.522228
449.554112,719,1287.872092
456.454112,650,1325.598363
458.654112,628,1368.569511
466.154112,553,1402.843454
447.154112,743,1446.518056
332.061979,1000,1507.886941
555.542312,1000,1567.158452
180.095352,1000,1628.774631
-16.567342,1000,1691.715752
476.354112,451,1720.410767
463.154112,583,1754.88676
465.754112,557,1787.190819
468.354112,531,1819.423404
475.754112,457,1846.77297
57.926103,1000,1906.350246
441.054112,804,1956.287426
485.254112,362,1975.350103
471.854112,496,2006.635866
486.254112,352,2029.810421
474.254112,472,2058.448753
