#{"t_start": 1679519325.4399269, "env_id": "CarRacing-v0"}
r,l,t
-34.445769,1000,65.679753
-22.526818,1000,132.889477
60.90584,1000,203.260544
40.047676,1000,273.512856
215.852205,1000,345.150292
7.27056,1000,419.160435
28.128725,1000,493.657135
-28.486293,1000,570.286857
382.717521,1000,648.618672
28.128725,1000,730.241837
358.879619,1000,807.458086
-25.506555,1000,880.512776
441.654112,798,927.770238
352.920143,1000,988.754936
168.1764,1000,1048.235101
457.354112,641,1089.835249
-28.486293,1000,1150.135864
453.754112,677,1188.74555
4.290822,1000,1248.425561
412.514899,1000,1308.234641
450.654112,708,1350.159058
454.754112,667,1395.959259
445.454112,760,1440.299096
435.154112,863,1494.502351
469.754112,517,1525.120394
465.154112,563,1558.080786
475.654112,458,1585.282476
467.454112,540,1618.348742
454.254112,672,1659.970244
117.520858,1000,1722.538701
467.554112,539,1754.697484
452.054112,694,1793.975112
475.154112,463,1822.897952
156.257449,1000,1882.025487
481.754112,397,1906.683051
483.954112,375,1930.465086
474.954112,465,1958.47856
468.454112,530,1991.690562
472.854112,486,2021.651698
469.154112,523,2053.082393
