#{"t_start": 1679525511.268023, "env_id": "CarRacing-v0"}
r,l,t
584.684685,1000,61.989048
723.00885,1000,121.867308
658.928571,1000,182.409245
872.727273,1000,246.203264
823.076923,1000,316.878033
837.5,1000,379.764693
843.75,1000,441.317492
650.0,1000,505.291752
624.137931,1000,568.110337
859.677419,1000,629.931582
875.757576,1000,691.805613
712.030075,1000,753.553772
728.571429,1000,818.319583
237.278107,1000,880.539557
731.932773,1000,942.911418
868.992248,1000,1004.167351
661.061947,1000,1063.168184
695.081967,1000,1123.850324
874.789916,1000,1184.148276
706.451613,1000,1242.199475
931.2,688,1280.174641
851.612903,1000,1338.783159
875.206612,1000,1398.679948
707.017544,1000,1457.906744
696.992481,1000,1524.410149
858.333333,1000,1583.524825
809.090909,1000,1641.558186
876.470588,1000,1701.348487
708.641975,1000,1761.265758
914.3,857,1805.254803
866.386555,1000,1864.514942
696.610169,1000,1922.918071
