#{"t_start": 1679525511.270566, "env_id": "CarRacing-v0"}
r,l,t
629.72973,1000,62.075801
555.172414,1000,121.934584
314.634146,1000,182.643103
700.0,1000,246.257332
619.298246,1000,317.383495
794.736842,1000,379.968258
771.559633,1000,441.529653
670.37037,1000,505.527065
767.052023,1000,568.333896
893.377483,1000,630.261885
869.465649,1000,691.886353
802.654867,1000,754.028894
668.656716,1000,818.438937
883.193277,1000,880.61325
642.690058,1000,943.058692
813.043478,1000,1004.190367
701.724138,1000,1063.233101
848.717949,1000,1123.977989
837.062937,1000,1184.468557
741.666667,1000,1242.375691
906.9,931,1290.361089
888.023952,1000,1349.247017
846.902655,1000,1409.531885
863.963964,1000,1472.990306
864.912281,1000,1536.068095
861.538462,1000,1594.460949
846.428571,1000,1652.746901
498.802395,1000,1712.540002
838.596491,1000,1771.889802
860.0,1000,1829.435622
581.818182,1000,1888.764408
