#{"t_start": 1679525511.2732222, "env_id": "CarRacing-v0"}
r,l,t
740.707965,1000,62.258698
723.529412,1000,122.070794
600.854701,1000,182.696126
800.0,1000,246.528651
740.236686,1000,317.504183
606.766917,1000,380.100611
541.666667,1000,441.660671
819.753086,1000,505.703958
778.787879,1000,568.481782
734.532374,1000,630.337111
590.909091,1000,692.018427
881.651376,1000,754.175669
882.758621,1000,818.485437
663.358779,1000,880.664197
837.5,1000,943.173245
850.617284,1000,1004.224565
825.0,1000,1063.279191
932.9,671,1100.526138
869.325153,1000,1161.859345
853.846154,1000,1219.704121
690.697674,1000,1279.449174
847.368421,1000,1338.014944
766.666667,1000,1397.624834
804.347826,1000,1456.931899
811.392405,1000,1523.344081
864.912281,1000,1582.658522
807.407407,1000,1640.867375
812.0,1000,1700.623171
881.651376,1000,1753.326345
834.911243,1000,1811.298928
320.118343,1000,1870.501886
843.548387,1000,1928.572382
