#{"t_start": 1679525511.2668755, "env_id": "CarRacing-v0"}
r,l,t
535.658915,1000,61.94572
684.313725,1000,121.734377
772.727273,1000,182.321897
872.727273,1000,246.165134
778.787879,1000,316.63584
666.35514,1000,379.562474
706.722689,1000,441.163116
546.153846,1000,505.207062
396.89441,1000,568.03022
665.151515,1000,629.845003
661.904762,1000,691.788495
666.081871,1000,753.52776
737.398374,1000,818.241927
691.411043,1000,880.453313
894.117647,1000,942.892597
890.990991,1000,1004.133334
768.852459,1000,1063.114852
861.24031,1000,1123.788789
785.542169,1000,1183.948643
925.1,749,1222.964031
914.5,855,1276.511033
746.153846,1000,1334.846021
866.386555,1000,1394.396593
668.0,1000,1453.55315
856.25,1000,1520.286551
854.887218,1000,1580.176583
926.0,740,1619.676607
858.083832,1000,1677.593642
749.62406,1000,1738.69384
882.300885,1000,1795.99819
868.992248,1000,1854.930264
884.615385,1000,1913.757727
