#{"t_start": 1679525511.2645118, "env_id": "CarRacing-v0"}
r,l,t
196.296296,1000,61.898731
730.357143,1000,121.636764
189.256198,1000,182.256562
635.042735,1000,245.966889
738.235294,1000,316.4168
874.789916,1000,379.474059
891.150442,1000,440.971587
861.038961,1000,504.97994
642.1875,1000,567.906654
608.661417,1000,629.590855
874.137931,1000,691.693413
749.557522,1000,753.361941
835.897436,1000,818.126579
890.909091,1000,880.269014
851.219512,1000,942.780871
873.451327,1000,1003.974116
820.353982,1000,1063.000101
750.574713,1000,1123.732441
850.819672,1000,1183.72295
882.300885,1000,1241.820172
922.3,777,1283.754832
891.37931,1000,1342.735883
791.428571,1000,1402.449143
875.308642,1000,1464.676147
814.529915,1000,1528.484476
875.460123,1000,1587.523883
857.264957,1000,1645.56617
870.588235,1000,1705.568565
891.666667,1000,1765.067184
683.13253,1000,1822.383703
892.537313,1000,1881.860404
908.9,911,1929.819591
