#{"t_start": 1679614350.5593321, "env_id": "CarRacing-v0"}
r,l,t
-67.462039,1000,47.279094
-64.705882,1000,92.299207
-40.246046,1000,137.949181
-15.572233,1000,184.904323
-72.677596,1000,231.88386
-50.0,1000,278.482309
-12.891986,1000,328.591772
83.982684,1000,385.826751
-27.299703,1000,438.337068
53.564899,1000,488.979137
-12.685338,1000,539.48454
-28.443649,1000,590.126842
30.067568,1000,639.777341
-56.862745,1000,687.933681
-77.61194,1000,737.991174
68.880455,1000,788.477984
-6.17849,1000,837.835241
-18.088737,1000,888.251936
101.596806,1000,938.838414
99.655766,1000,991.761281
67.608286,1000,1043.998721
15.318417,1000,1090.388288
152.115059,1000,1140.862457
53.846154,1000,1190.793505
123.684211,1000,1241.066027
45.07772,1000,1293.220864
169.051322,1000,1343.105845
7.317073,1000,1393.981151
113.143872,1000,1444.360557
117.03854,1000,1495.036819
185.420945,1000,1545.828713
98.425197,1000,1596.805106
149.417249,1000,1645.734178
93.939394,1000,1696.386894
87.22467,1000,1745.838294
14.754098,1000,1795.40734
202.540416,1000,1845.603662
-77.52809,1000,1894.575394
133.840304,1000,1946.001329
210.469314,1000,1995.820646
113.461538,1000,2047.236182
100.0,1000,2099.765382
-68.404423,1000,2146.582025
148.239437,1000,2197.214738
127.272727,1000,2248.386028
79.138322,1000,2300.534964
36.71875,1000,2351.927534
245.833333,1000,2402.27231
-12.5,1000,2459.556273
71.026157,1000,2526.043916
360.048426,1000,2586.116431
-2.877698,1000,2649.465775
344.444444,1000,2712.310236
-27.404719,1000,2776.972438
5.263158,1000,2845.168107
112.560386,1000,2911.053851
-52.095808,1000,2979.237096
62.055336,1000,3054.223218
387.695749,1000,3131.220802
64.203612,1000,3197.143215
165.060241,1000,3268.13928
38.847858,1000,3336.110527
197.912713,1000,3403.35133
255.633803,1000,3461.630507
12.754159,1000,3533.832055
50.684932,1000,3601.37311
111.678832,1000,3673.897292
51.675485,1000,3747.73867
64.634146,1000,3827.905129
-65.346535,1000,3906.803441
-22.145329,1000,3990.772345
10.154905,1000,4076.197079
121.719457,1000,4158.968869
178.659612,1000,4243.090377
16.525424,1000,4319.503152
128.040541,1000,4400.937933
173.534636,1000,4473.207283
78.517398,1000,4563.593781
