#{"t_start": 1679614350.5622115, "env_id": "CarRacing-v0"}
r,l,t
-73.790323,1000,47.343386
-74.591652,1000,92.371055
-73.180077,1000,138.021939
-51.351351,1000,184.977358
-53.545232,1000,231.952111
56.0,1000,278.557998
52.136752,1000,328.664408
95.564516,1000,385.908393
76.0,1000,438.412786
-10.11236,1000,489.065556
50.337838,1000,539.564018
139.277652,1000,590.206064
67.98419,1000,639.852495
64.473684,1000,688.009548
46.892655,1000,738.067948
-46.086957,1000,788.550588
31.048387,1000,837.908978
-4.471545,1000,888.32144
33.651551,1000,938.909581
69.336384,1000,991.831123
104.498978,1000,1044.073243
153.141831,1000,1090.466132
136.453202,1000,1140.93875
104.166667,1000,1190.867357
64.725458,1000,1241.141771
64.274322,1000,1293.297806
70.909091,1000,1343.17958
101.465201,1000,1394.083521
82.565789,1000,1444.434817
87.855787,1000,1495.177286
99.535963,1000,1545.910484
64.948454,1000,1596.880386
44.194757,1000,1645.814548
88.139059,1000,1696.459219
122.021661,1000,1745.917452
105.231388,1000,1795.482373
-19.04048,1000,1845.673971
3.921569,1000,1894.721814
411.578947,1000,1946.076148
-31.726908,1000,1995.898772
-77.564103,1000,2047.302557
9.89011,1000,2099.837211
203.501946,1000,2146.715432
70.846395,1000,2197.314135
-52.983725,1000,2248.461475
2.389078,1000,2300.604465
57.370518,1000,2352.002718
174.793388,1000,2402.347805
231.683168,1000,2459.64124
52.48227,1000,2526.11914
9.090909,1000,2586.299746
47.843943,1000,2649.557147
12.727273,1000,2712.391395
136.080178,1000,2777.072521
87.919463,1000,2845.260824
394.66951,1000,2911.157713
75.438596,1000,2979.340546
67.364017,1000,3054.378348
93.482688,1000,3131.327148
219.642857,1000,3197.251587
29.496403,1000,3268.253361
288.349515,1000,3336.206564
221.23412,1000,3403.45044
97.211155,1000,3461.720655
-19.282511,1000,3533.934199
28.0,1000,3601.465001
372.049689,1000,3674.065476
102.702703,1000,3747.845002
218.681319,1000,3828.009227
31.630648,1000,3906.962468
95.075758,1000,3990.903302
193.436293,1000,4076.405513
279.62963,1000,4159.079772
47.453083,1000,4243.206341
108.928571,1000,4319.634756
369.581749,1000,4401.061856
113.572854,1000,4473.392617
116.269841,1000,4563.72222
