#{"t_start": 1679579456.5425913, "env_id": "CarRacing-v0"}
r,l,t
31.386861,1000,45.147044
14.006515,1000,85.655336
173.648649,1000,129.415574
98.555957,1000,173.091049
-29.765886,1000,217.002998
-66.41791,1000,261.945304
-77.443609,1000,307.510545
-78.873239,1000,352.507885
-77.099237,1000,397.79531
-79.381443,1000,443.991155
-76.811594,1000,490.193467
-78.33935,1000,535.421586
-81.818182,1000,581.167238
-79.522184,1000,628.707553
-80.066445,1000,676.054989
-73.880597,1000,721.784857
-83.660131,1000,768.134856
-81.072555,1000,813.068444
-79.381443,1000,859.556819
-86.348123,1000,905.373382
-80.327869,1000,952.77872
-85.915493,1000,994.009389
-68.085106,1000,1039.869408
-83.050847,1000,1085.24191
-81.818182,1000,1131.669177
-76.923077,1000,1177.551651
-82.142857,1000,1224.118675
-85.380117,1000,1270.767337
-84.848485,1000,1316.686403
-82.758621,1000,1362.538005
-74.637681,1000,1408.002548
-76.744186,1000,1453.588142
-79.166667,1000,1503.956416
-81.595092,1000,1549.681564
-80.952381,1000,1598.748046
-80.0,1000,1644.342971
-79.93311,1000,1694.236048
-75.945017,1000,1741.33435
-73.38403,1000,1789.672791
-80.0,1000,1839.737767
-80.327869,1000,1886.803982
-74.074074,1000,1934.705518
-73.941368,1000,1976.627137
-79.72973,1000,2028.014129
-68.641115,1000,2097.542379
-81.481481,1000,2161.975179
-80.769231,1000,2225.845536
-81.884058,1000,2291.548473
-79.661017,1000,2360.078886
-83.713355,1000,2425.647633
-81.132075,1000,2487.4946
-83.108108,1000,2551.987527
-78.947368,1000,2611.454775
-77.777778,1000,2671.035301
-82.817869,1000,2731.73723
-83.050847,1000,2791.618875
-86.15917,1000,2852.536753
-74.440895,1000,2913.554
-82.758621,1000,2974.696717
-78.417266,1000,3035.516952
-82.269504,1000,3097.015407
-83.050847,1000,3158.657369
-83.766234,1000,3219.95685
-78.33935,1000,3271.985049
-77.61194,1000,3331.271914
-80.13245,1000,3391.717963
-83.388704,1000,3452.526504
-78.021978,1000,3520.065943
-81.132075,1000,3579.392921
-79.381443,1000,3640.24112
-82.394366,1000,3702.610296
-64.788732,1000,3763.429429
-73.684211,1000,3823.653377
-77.443609,1000,3885.366518
-64.0,1000,3945.225928
-76.833977,1000,4005.374055
-80.066445,1000,4069.87468
-79.522184,1000,4126.904383
-82.857143,1000,4183.162518
-79.166667,1000,4239.967906
-84.984985,1000,4295.872406
-82.698962,1000,4351.060155
-80.582524,1000,4407.848933
-78.26087,1000,4466.428904
-72.027972,1000,4523.118983
-73.684211,1000,4574.811357
-80.13245,1000,4630.667331
