#{"t_start": 1679579456.5418696, "env_id": "CarRacing-v0"}
r,l,t
130.263158,1000,45.130719
42.857143,1000,85.632479
80.064309,1000,129.396533
102.941176,1000,173.075217
-17.241379,1000,216.979574
-76.676385,1000,261.926169
-77.52809,1000,307.493412
-79.020979,1000,352.486532
-82.035928,1000,397.776613
-78.417266,1000,443.97492
-68.965517,1000,490.17588
-79.238754,1000,535.405054
-84.227129,1000,581.146419
-81.132075,1000,628.689416
-82.352941,1000,676.03759
-80.582524,1000,721.765803
-82.993197,1000,768.118648
-78.494624,1000,813.052236
-82.394366,1000,859.540602
-83.221477,1000,905.357617
-80.952381,1000,952.763616
-79.094077,1000,993.989416
-84.567901,1000,1039.852148
-78.798587,1000,1085.22194
-82.578397,1000,1131.654312
-74.025974,1000,1177.531002
-81.481481,1000,1224.038751
-84.025559,1000,1270.746782
-80.645161,1000,1316.669419
-81.884058,1000,1362.521052
-78.10219,1000,1407.984478
-80.89172,1000,1453.569494
-79.93311,1000,1503.93375
-78.193146,1000,1549.661013
-82.142857,1000,1598.728198
-84.177215,1000,1644.32714
-74.895397,1000,1694.215421
-82.954545,1000,1741.31794
-75.609756,1000,1789.655374
-73.333333,1000,1839.718853
-83.164983,1000,1886.788927
-75.903614,1000,1934.68961
-79.661017,1000,1976.608603
-81.707317,1000,2027.997014
-79.72973,1000,2097.518945
-82.517483,1000,2161.949455
-79.93311,1000,2225.822414
-79.72973,1000,2291.524472
-79.651163,1000,2360.05101
-77.346278,1000,2425.625416
-76.470588,1000,2487.476289
-78.181818,1000,2551.968274
-77.859779,1000,2611.436469
-79.93311,1000,2671.015216
-80.263158,1000,2731.711629
-79.166667,1000,2791.597393
-80.842912,1000,2852.518331
-86.531987,1000,2913.53587
-76.5625,1000,2974.677425
-79.238754,1000,3035.495548
-78.947368,1000,3096.993301
-83.766234,1000,3158.636081
-75.0,1000,3219.934587
-84.802432,1000,3271.966631
-79.381443,1000,3331.248969
-74.074074,1000,3391.699207
-84.567901,1000,3452.505212
-79.865772,1000,3520.046784
-72.318339,1000,3579.37711
-73.282443,1000,3640.21631
-86.928105,1000,3702.590712
-80.89172,1000,3763.410137
-78.723404,1000,3823.62887
-81.25,1000,3885.344826
-79.381443,1000,3945.204361
-66.037736,1000,4005.354002
-72.60274,1000,4069.8548
-67.032967,1000,4126.876245
-78.723404,1000,4183.142163
-78.723404,1000,4239.948634
-85.507246,1000,4295.852016
-80.0,1000,4351.037948
-78.26087,1000,4407.829378
-78.571429,1000,4466.411223
-82.332155,1000,4523.101968
-82.638889,1000,4574.789132
-81.707317,1000,4630.648295
