#{"t_start": 1679579456.5403435, "env_id": "CarRacing-v0"}
r,l,t
-18.149466,1000,45.102175
111.895911,1000,85.598141
62.878788,1000,129.365543
109.923664,1000,173.043909
-27.203065,1000,216.945277
-63.525836,1000,261.882931
-79.522184,1000,307.455058
-77.52809,1000,352.4462
-80.519481,1000,397.729304
-81.424149,1000,443.940928
-65.517241,1000,490.136056
-80.620155,1000,535.35814
-79.381443,1000,581.096293
-80.0,1000,628.657206
-78.571429,1000,676.004211
-80.0,1000,721.729689
-79.094077,1000,768.088886
-76.973684,1000,813.021079
-83.108108,1000,859.508033
-78.571429,1000,905.262135
-82.55814,1000,952.731046
-80.46875,1000,993.953848
-76.377953,1000,1039.809756
-79.661017,1000,1085.189791
-80.842912,1000,1131.615248
-81.981982,1000,1177.489261
-81.707317,1000,1224.002679
-79.310345,1000,1270.706925
-76.5625,1000,1316.631908
-81.36646,1000,1362.486607
-75.609756,1000,1407.951231
-70.695971,1000,1453.535108
-79.522184,1000,1503.892865
-72.0,1000,1549.626996
-77.777778,1000,1598.692474
-79.865772,1000,1644.295675
-78.494624,1000,1694.182201
-79.93311,1000,1741.284297
-79.020979,1000,1789.618115
-80.19802,1000,1839.683733
-81.949458,1000,1886.675954
-76.190476,1000,1934.656834
-74.025974,1000,1976.567178
-82.708934,1000,2027.950548
-79.238754,1000,2097.474508
-81.617647,1000,2161.890312
-81.012658,1000,2225.771468
-75.524476,1000,2291.478822
-85.815603,1000,2360.006055
-77.61194,1000,2425.578808
-70.909091,1000,2487.436797
-73.684211,1000,2551.925773
-81.617647,1000,2611.391709
-76.653696,1000,2670.972198
-80.544747,1000,2731.673628
-71.774194,1000,2791.553434
-81.132075,1000,2852.474345
-79.452055,1000,2913.49205
-83.713355,1000,2974.63548
-78.647687,1000,3035.455134
-85.765125,1000,3096.94988
-79.661017,1000,3158.596575
-75.945017,1000,3219.892398
-79.79798,1000,3271.925497
-80.519481,1000,3331.208092
-79.381443,1000,3391.65364
-83.164983,1000,3452.4626
-78.26087,1000,3520.013094
-79.591837,1000,3579.333582
-83.713355,1000,3640.178155
-82.817869,1000,3702.548194
-76.0,1000,3763.3649
-82.905983,1000,3823.589601
-80.0,1000,3885.300391
-86.440678,1000,3945.160775
-81.072555,1000,4005.308282
-78.328173,1000,4069.811314
-69.491525,1000,4126.832081
-84.227129,1000,4183.103109
-79.166667,1000,4239.908432
-83.108108,1000,4295.811493
-80.582524,1000,4350.997064
-65.986395,1000,4407.794971
-65.116279,1000,4466.372696
-73.684211,1000,4523.065194
-66.41791,1000,4574.74505
-85.347985,1000,4630.607615
