#{"t_start": 1679579456.5394838, "env_id": "CarRacing-v0"}
r,l,t
-7.47331,1000,45.08765
60.655738,1000,85.57426
70.967742,1000,129.349292
53.846154,1000,173.023353
96.078431,1000,216.929834
-45.454545,1000,261.795799
-77.859779,1000,307.434177
-77.358491,1000,352.430621
-75.806452,1000,397.712855
-77.124183,1000,443.920688
-79.310345,1000,490.115139
-81.549815,1000,535.338019
-85.673352,1000,581.069368
-79.661017,1000,628.639875
-77.695167,1000,675.98582
-80.392157,1000,721.71267
-80.0,1000,768.072397
-80.707395,1000,813.004023
-84.025559,1000,859.492378
-79.094077,1000,905.244861
-79.661017,1000,952.714159
-83.443709,1000,993.938241
-82.876712,1000,1039.79036
-79.93311,1000,1085.171348
-84.70948,1000,1131.592943
-76.40118,1000,1177.464055
-80.263158,1000,1223.981583
-79.865772,1000,1270.689815
-80.066445,1000,1316.60802
-77.941176,1000,1362.469033
-79.381443,1000,1407.929989
-77.52809,1000,1453.517476
-69.348659,1000,1503.874491
-80.952381,1000,1549.611175
-81.273408,1000,1598.674829
-82.993197,1000,1644.280213
-78.181818,1000,1694.164979
-72.881356,1000,1741.263005
-69.899666,1000,1789.601748
-61.267606,1000,1839.666671
-78.26087,1000,1886.6605
-81.481481,1000,1934.640368
-78.10219,1000,1976.552495
-77.272727,1000,2027.932189
-77.419355,1000,2097.452166
-82.45614,1000,2161.863118
-79.93311,1000,2225.75145
-63.562753,1000,2291.459439
-82.698962,1000,2359.980224
-86.225895,1000,2425.560727
-79.094077,1000,2487.415304
-81.343284,1000,2551.907815
-81.273408,1000,2611.374845
-76.923077,1000,2670.954964
-82.394366,1000,2731.650607
-80.19802,1000,2791.51905
-82.65896,1000,2852.455251
-83.606557,1000,2913.473314
-76.588629,1000,2974.615171
-77.099237,1000,3035.436058
-82.817869,1000,3096.930549
-81.818182,1000,3158.576482
-76.190476,1000,3219.871724
-77.186312,1000,3271.904775
-79.865772,1000,3331.186462
-80.19802,1000,3391.635422
-73.333333,1000,3452.441249
-77.099237,1000,3519.996038
-81.132075,1000,3579.316915
-77.186312,1000,3640.158959
-78.915663,1000,3702.529839
-78.571429,1000,3763.347528
-78.417266,1000,3823.569941
-81.751825,1000,3885.280197
-80.645161,1000,3945.138631
-52.205882,1000,4005.284753
-78.947368,1000,4069.694233
-77.52809,1000,4126.803195
-70.873786,1000,4183.083996
-76.653696,1000,4239.888296
-79.238754,1000,4295.791296
-82.394366,1000,4350.977594
-69.811321,1000,4407.779043
-72.65625,1000,4466.354937
-81.343284,1000,4523.045928
-85.632184,1000,4574.724959
-76.833977,1000,4630.590341
