#{"t_start": 1679527629.0756447, "env_id": "CarRacing-v0"}
r,l,t
361.538462,1000,54.73723
380.916031,1000,104.407543
329.602888,1000,151.962825
513.861386,1000,199.757012
248.275862,1000,246.428959
532.352941,1000,292.827453
878.873239,1000,340.406909
553.594771,1000,389.342496
770.0,1000,437.618455
763.945578,1000,485.218931
355.696203,1000,534.31261
855.017301,1000,582.136023
346.685879,1000,630.065155
889.43662,1000,678.118269
893.079585,1000,725.258477
888.721805,1000,772.519861
644.262295,1000,821.583953
407.042254,1000,869.938425
844.649446,1000,917.996432
862.121212,1000,966.457433
513.114754,1000,1017.939482
557.439446,1000,1059.715979
575.241158,1000,1107.89992
877.777778,1000,1156.115817
609.219858,1000,1204.281883
886.531987,1000,1251.651078
873.509934,1000,1299.714774
860.992908,1000,1347.714439
640.0,1000,1395.668471
827.868852,1000,1443.140149
923.6,764,1482.673847
