#{"t_start": 1679527629.0740004, "env_id": "CarRacing-v0"}
r,l,t
344.839858,1000,54.668249
528.205128,1000,104.35761
888.764045,1000,151.908895
374.820144,1000,199.701726
423.4375,1000,246.372632
767.549669,1000,292.690012
839.285714,1000,340.351371
863.369963,1000,389.276242
885.130112,1000,437.567986
733.333333,1000,485.157452
784.462151,1000,534.249275
782.539683,1000,582.082657
835.064935,1000,630.012646
214.447592,1000,678.065233
902.1,979,724.392678
874.358974,1000,771.730954
791.129032,1000,820.788522
540.449438,1000,869.214316
835.483871,1000,917.354644
872.60274,1000,965.717508
889.208633,1000,1011.552973
630.519481,1000,1058.84985
500.660066,1000,1107.065797
886.531987,1000,1155.286218
910.1,899,1199.630298
782.550336,1000,1247.049065
590.625,1000,1294.955056
826.174497,1000,1342.981589
101.465201,1000,1391.015228
827.203065,1000,1438.422781
633.096085,1000,1486.888216
