#{"t_start": 1679527629.075077, "env_id": "CarRacing-v0"}
r,l,t
301.294498,1000,54.712274
247.402597,1000,104.390506
790.84507,1000,151.944714
742.281879,1000,199.734441
666.773163,1000,246.410947
872.65625,1000,292.810735
343.661972,1000,340.386341
646.987952,1000,389.315603
603.703704,1000,437.60159
497.864769,1000,485.198657
556.862745,1000,534.291357
694.964029,1000,582.118503
831.506849,1000,630.048732
870.909091,1000,678.101994
857.692308,1000,725.237989
858.955224,1000,772.503033
888.929889,1000,821.561729
606.896552,1000,869.915431
778.504673,1000,917.976931
890.595611,1000,966.439959
917.0,830,1005.876611
927.4,726,1043.310493
877.358491,1000,1091.237008
722.289157,1000,1139.803859
914.3,857,1176.898254
925.9,741,1215.333392
907.8,922,1254.591744
583.006536,1000,1302.622289
799.705015,1000,1350.677195
879.452055,1000,1398.547472
517.737003,1000,1446.03951
837.931034,1000,1494.790794
