#{"t_start": 1679527629.073358, "env_id": "CarRacing-v0"}
r,l,t
408.650519,1000,54.648639
656.849315,1000,104.340223
258.62069,1000,151.892515
681.25,1000,199.685172
590.23569,1000,246.354718
711.764706,1000,292.669326
872.027972,1000,340.332806
564.576803,1000,389.257933
604.968944,1000,437.539955
655.162242,1000,485.136898
862.825279,1000,534.228584
465.079365,1000,582.06353
840.0,1000,629.995833
834.306569,1000,678.048861
883.164983,1000,725.191462
813.357401,1000,772.46228
864.285714,1000,821.520878
912.3,877,860.044925
541.891892,1000,907.980629
490.47619,1000,956.07246
906.5,935,1005.176228
333.884298,1000,1052.508441
889.830508,1000,1100.660697
839.597315,1000,1148.933396
840.766551,1000,1197.104268
842.492013,1000,1244.574465
808.045977,1000,1292.392044
845.762712,1000,1340.397164
319.047619,1000,1388.435413
872.222222,1000,1435.91725
886.577181,1000,1484.348322
