#{"t_start": 1679527629.072853, "env_id": "CarRacing-v0"}
r,l,t
319.141914,1000,54.624421
844.649446,1000,104.324804
876.5625,1000,151.876587
553.061224,1000,199.668476
689.855072,1000,246.336523
448.262548,1000,292.652509
477.060932,1000,340.314603
890.09901,1000,389.239083
726.530612,1000,437.522602
888.188976,1000,485.118031
784.615385,1000,534.211541
448.148148,1000,582.047172
914.8,852,624.786243
417.684887,1000,673.000271
681.690141,1000,719.787772
878.417266,1000,762.071153
914.3,857,805.127204
749.056604,1000,853.547873
880.694981,1000,901.572758
611.038961,1000,949.592987
874.276527,1000,1001.285239
910.8,892,1044.697535
902.4,976,1091.894924
200.341297,1000,1140.422865
834.579439,1000,1189.057662
893.527508,1000,1231.074781
856.834532,1000,1278.670555
823.333333,1000,1326.656651
754.88959,1000,1374.532328
840.944882,1000,1422.144425
876.027397,1000,1470.236838
568.810289,1000,1519.775756
