#{"t_start": 1679527629.0721958, "env_id": "CarRacing-v0"}
r,l,t
77.177177,1000,54.606517
800.369004,1000,104.306829
743.283582,1000,151.860934
857.198444,1000,199.65155
836.39576,1000,246.317649
858.041958,1000,292.633697
304.958678,1000,340.294957
702.898551,1000,389.221239
409.868421,1000,437.504817
858.490566,1000,485.101928
911.7,883,529.931536
755.595668,1000,577.740907
518.677043,1000,625.743526
924.2,758,659.752377
911.8,882,702.098077
568.874172,1000,749.608969
428.248588,1000,797.791661
858.466454,1000,846.518017
849.820789,1000,894.795812
819.860627,1000,942.629496
649.152542,1000,994.18874
862.264151,1000,1042.336401
855.719557,1000,1084.410436
390.196078,1000,1132.953611
547.56447,1000,1181.081188
873.421927,1000,1229.022242
859.854015,1000,1276.58955
480.060423,1000,1324.596766
865.635739,1000,1372.422017
841.818182,1000,1420.064492
604.180064,1000,1468.148662
883.277592,1000,1517.700361
